Код товара,Наименование товара,Псевдоним,Цена,Краткое описание,Полное описание,Title страницы,Усиленная дверная коробка B90,Изображение,Алюминиевый нащельник,Открывание,Цвет,Цвет иллюминатора,Наличник,Title Изображения,Ключевые слова,Свободный атрибут,Размер полотна,Мета-описание
1.Композитные двери POSEIDON,,,,,,,,______________________________________________________________________________POSEIDON___________1.png,,,,,,,,,,
1.1.Погонажные изделия для дверей POSEIDON,,,,,,,,____________________________________________________.png,,,,,,,,,,
1.1.1.Наличники,,,,,,,,full_____________________________.png,,,,,,,,,,
,Наличник белый телескопический ДПК для дверей POSEIDON 2170х70х10,,790,Наличник белый телескопический ДПК для дверей POSEIDON 2170х70х10,,Наличник белый телескопический ДПК для дверей POSEIDON 2170х70х10,,full_____________________________.png,,,,,,Наличник белый телескопический ДПК для дверей POSEIDON 2170х70х10,Наличник белый телескопический ДПК для дверей POSEIDON 2170х70х10,,,Наличник белый телескопический ДПК для дверей POSEIDON 2170х70х10
,Наличник серый телескопический ДПК для дверей POSEIDON 2170х70х10,,800,Наличник серый телескопический ДПК для дверей POSEIDON 2170х70х10,,Наличник серый телескопический ДПК для дверей POSEIDON 2170х70х10,,_______________________________________.png,,,,,,Наличник серый телескопический ДПК для дверей POSEIDON 2170х70х10,Наличник серый телескопический ДПК для дверей POSEIDON 2170х70х10,,,Наличник серый телескопический ДПК для дверей POSEIDON 2170х70х10
,Наличник крем матовый телескопический ДПК для дверей POSEIDON 2170х70х10,,800,Наличник крем матовый телескопический ДПК для дверей POSEIDON 2170х70х10,,Наличник крем матовый телескопический ДПК для дверей POSEIDON 2170х70х10,,_____________________________________________.png,,,,,,Наличник крем матовый телескопический ДПК для дверей POSEIDON 2170х70х10,Наличник крем матовый телескопический ДПК для дверей POSEIDON 2170х70х10,,,Наличник крем матовый телескопический ДПК для дверей POSEIDON 2170х70х10
1.1.2.Доборы,,,,,,,,full__________________________________1.png,,,,,,,,,,
,Добор белый телескопический ДПК 150 мм для дверей POSEIDON,,1270,Добор белый телескопический ДПК 150 мм для дверей POSEIDON,,Добор белый телескопический ДПК 150 мм для дверей POSEIDON,,full__________________________________1.png,,,,,,Добор белый телескопический ДПК 150 мм для дверей POSEIDON,Добор белый телескопический ДПК 150 мм для дверей POSEIDON,,,Добор белый телескопический ДПК 150 мм для дверей POSEIDON
,Добор белый телескопический ДПК 100 мм для дверей POSEIDON,,845,Добор белый телескопический ДПК 100 мм для дверей POSEIDON,,Добор белый телескопический ДПК 100 мм для дверей POSEIDON,,full__________________________________1.png,,,,,,Добор белый телескопический ДПК 100 мм для дверей POSEIDON,Добор белый телескопический ДПК 100 мм для дверей POSEIDON,,,Добор белый телескопический ДПК 100 мм для дверей POSEIDON
,Добор серый телескопический ДПК 150 мм для дверей POSEIDON,,1360,Добор серый телескопический ДПК 150 мм для дверей POSEIDON,,Добор серый телескопический ДПК 150 мм для дверей POSEIDON,,_________________________________1.png,,,,,,Добор серый телескопический ДПК 150 мм для дверей POSEIDON,Добор серый телескопический ДПК 150 мм для дверей POSEIDON,,,Добор серый телескопический ДПК 150 мм для дверей POSEIDON
,Добор серый телескопический ДПК 100 мм для дверей POSEIDON,,910,Добор серый телескопический ДПК 100 мм для дверей POSEIDON,,Добор серый телескопический ДПК 100 мм для дверей POSEIDON,,_________________________________2.png,,,,,,Добор серый телескопический ДПК 100 мм для дверей POSEIDON,Добор серый телескопический ДПК 100 мм для дверей POSEIDON,,,Добор серый телескопический ДПК 100 мм для дверей POSEIDON
,Добор крем матовый телескопический ДПК 150 мм для дверей POSEIDON,,1360,Добор крем матовый телескопический ДПК 150 мм для дверей POSEIDON,,Добор крем матовый телескопический ДПК 150 мм для дверей POSEIDON,,_______________________________________1.png,,,,,,Добор крем матовый телескопический ДПК 150 мм для дверей POSEIDON,Добор крем матовый телескопический ДПК 150 мм для дверей POSEIDON,,,Добор крем матовый телескопический ДПК 150 мм для дверей POSEIDON
,Добор крем матовый телескопический ДПК 100 мм для дверей POSEIDON,,910,Добор крем матовый телескопический ДПК 100 мм для дверей POSEIDON,,Добор крем матовый телескопический ДПК 100 мм для дверей POSEIDON,,_______________________________________1.png,,,,,,Добор крем матовый телескопический ДПК 100 мм для дверей POSEIDON,Добор крем матовый телескопический ДПК 100 мм для дверей POSEIDON,,,Добор крем матовый телескопический ДПК 100 мм для дверей POSEIDON
